0021,金,0021_1.jpg,0021_2.jpg,金,8,常用漢字,1年,N5,10級,なし,キン,kin,コン,kon,,,,,,,かね,kane,かな,kana,,,,,,,,,,,,,,,,,きん。おかね。<ruby><rt>金属</rt><rb>きんぞく</rb></ruby>。きんのような。<ruby><rt>金曜日</rt><rb>きんようび</rb></ruby>の<ruby><rt>略</rt><rb>りゃく</rb></ruby>。,金,きん・かね,kin・kane,"money, gold",2000年前にせんねんまえの金きんの装飾品そうしょくひんが今いまも黄金おうごんの輝かがやきを放はなっている。/時ときは金かねなり。,金額,きんがく,kingaku,sum of money,領収書りょうしゅうしょの金額きんがくに、間違まちがいがないか確たしかめる。,料金,りょうきん,ryoukin,"charge, fee, fare",今月こんげつの電話でんわ料金りょうきんは2万円にまんえんもかかった。,金属,きんぞく,借金（する）,しゃっきん（する）,税金,ぜいきん,年金,ねんきん,お金,おかね
0022,見,0022_1.jpg,0022_2.jpg,見,7,常用漢字,1年,N5,10級,なし,ケン,ken,,,,,,,,,み・る（～を）,mi-ru(～wo),み・える（～が）,mi-eru(～ga),み・せる（～を）,mi-seru(～wo),,,,,,,,,,,,,,,みる。あらわれる。<ruby><rt>人</rt><rb>ひと</rb></ruby>と<ruby><rt>会</rt><rb>あ</rb></ruby>う。かんがえ。,意見,いけん,iken,"opinion, view",自分じぶんの意見いけんをまとめて分わかりやすく日本語にほんごで話はなしたい。,発見（する）,はっけん（する）,hakken(suru),discovery,ニュートンは万有引力ばんゆういんりょくを発見はっけんした。,見直す,みなおす,minaosu,"look at ～ again, think better of",予算よさん不足ぶそくで計画けいかくを見直みなおさなければならない。,見送る,みおくる,見守る,みまもる,見込み,みこみ,見通し,みとおし,見方,みかた
0023,高,0023_1.jpg,0023_2.jpg,高,10,常用漢字,2年,N5,9級,なし,コウ,kou,,,,,,,,,たか・い,taka-i,たか,taka,たか・まる（～が）,taka-maru(～ga),たか・める（～を）,taka-meru(～wo),,,,,,,,,,,,,たかい。<ruby><rt>程度</rt><rb>ていど</rb></ruby>が<ruby><rt>上</rt><rb>うえ</rb></ruby>。たかまる。すぐれている。えらそうにする。<ruby><rt>尊敬</rt><rb>そんけい</rb></ruby>の<ruby><rt>意味</rt><rb>いみ</rb></ruby>。,円高,えんだか,endaka,strong yen,円えんの価値かちが高たかくなることを円高えんだか、反対はんたいを円安えんやすという。,最高（な）,さいこう（な）,saikou(na),"highest, maximum",すばらしい天気てんき、今日きょうは最高さいこうのドライブ日和びよりだ。,高める,たかめる,takameru,"heighten, raise",情報じょうほう分析ぶんせき能力のうりょくを高たかめるための教育きょういくシステムを開発かいはつする。,高い,たかい,高級（な）,こうきゅう（な）,高速,こうそく,高度（な）,こうど（な）,高さ,たかさ
0024,生,0024_1.jpg,0024_2.jpg,生,5,常用漢字,1年,N5,10級,なし,ショウ,shou,ショウ・じる/ずる（～が・～を）,shou-jiru/zuru(～ga・～wo),セイ,sei,,,,,い・きる（～が）,i-kiru(～ga),い・かす（～を）,i-kasu(～wo),い・ける（～を）,i-keru(～wo),う・まれる（～が）,u-mareru(～ga),う・む（～を）,u-mu(～wo),は・える（～が）,ha-eru(～ga),は・やす（～を）,ha-yasu(～wo),お・う（～が）,o-u(～ga),なま,nama,き,ki,いきる。うまれる。なまの。<ruby><rt>純粋</rt><rb>じゅんすい</rb></ruby>な。はえる。ひと。いきいきした。,学生,がくせい,gakusei,student,一人ひとりの留学生りゅうがくせいに、日本人にほんじんの学生がくせいのチューターが一人ひとりつきます。,生活（する）,せいかつ（する）,seikatsu(suru),one's daily existence,勉強べんきょうとアルバイトで、学生がくせい生活せいかつは忙いそがしい。,生きる,いきる,ikiru,"live, exist",人間にんげんは社会しゃかいの中なかで生いきている。,生まれる,うまれる,生徒,せいと,生産（する）,せいさん（する）,生む［産む］,うむ［うむ］,高校生,こうこうせい
0025,東,0025_1.jpg,0025_2.jpg,木,8,常用漢字,2年,N5,9級,なし,トウ,tou,,,,,,,,,ひがし,higashi,あずま,azuma,,,,,,,,,,,,,,,,,ひがし。<ruby><rt>日</rt><rb>ひ</rb></ruby>が<ruby><rt>出</rt><rb>で</rb></ruby>る<ruby><rt>方角</rt><rb>ほうがく</rb></ruby>。,東,ひがし,higashi,east,東ひがしの空そらから日ひがのぼった。,東京（都）,とうきょう（と）,toukyou(to),Tokyo 〔Metropolis〕,東京とうきょうは関東地方かんとうちほうの中心都市ちゅうしんとしです。,東西,とうざい,touzai,east and west,東京とうきょうメトロの東西とうざい線せんは東京とうきょうを東西とうざいに走はしっている。,東北（地方）,とうほく（ちほう）,中東（地域）,ちゅうとう（ちいき）,東海道（新幹線）,とうかいどう（しんかんせん）,東洋,とうよう,北東,ほくとう
0026,市,0026_1.jpg,0026_2.jpg,巾,5,常用漢字,2年,N4,9級,なし,シ,shi,,,,,,,,,いち,ichi,,,,,,,,,,,,,,,,,,,<ruby><rt>地方公共団体</rt><rb>ちほうこうきょうだんたい</rb></ruby>の<ruby><rt>一</rt><rb>ひと</rb></ruby>つ。まち。<ruby><rt>都会</rt><rb>とかい</rb></ruby>。いちば。うりかい。,市民,しみん,shimin,citizen,一般いっぱん市民しみんがボランティアでゴミを拾ひろっている。,都市,とし,toshi,city,公害こうがい、犯罪はんざいなど都市としがかかえる問題もんだいは多おおい。,市場,しじょう・いちば,shijou・ichiba,market,市場しじょう調査ちょうさで市場しじょうの動向どうこうを分析ぶんせきする。/活気かっきあふれる早朝そうちょうの魚うお市場いちば。,市内,しない,市役所,しやくしょ,市町村,しちょうそん,市立,しりつ・いちりつ,市販（する）,しはん（する）
0027,前,0027_1.jpg,0027_2.jpg,刂（刀）,9,常用漢字,2年,N5,9級,なし,ゼン,zen,,,,,,,,,まえ,mae,,,,,,,,,,,,,,,,,,,すすむ<ruby><rt>先</rt><rb>さき</rb></ruby>のほう。<ruby><rt>時間</rt><rb>じかん</rb></ruby>や<ruby><rt>順番</rt><rb>じゅんばん</rb></ruby>が<ruby><rt>早</rt><rb>はや</rb></ruby>い。あることよりもさきに。<ruby><rt>人数分</rt><rb>にんずうぶん</rb></ruby>の<ruby><rt>量</rt><rb>りょう</rb></ruby>、～<ruby><rt>人前</rt><rb>にんまえ</rb></ruby>。,前後,ぜんご,zengo,"before and after, ～ or thereabouts",新製品しんせいひんの価格かかくは3万円さんまんえん前後ぜんごになる予定よていだ。,以前,いぜん,izen,"previous, past",今いまはきたないこの川かわも、以前いぜんは泳およげるきれいな川かわでした。,直前,ちょくぜん,chokuzen,just before,病気びょうきのため、出発しゅっぱつ直前ちょくぜんに旅行りょこうをキャンセルした。,～前,～まえ,名前,なまえ,午前,ごぜん,前回,ぜんかい,前期⇔後期,ぜんき⇔こうき
0028,円,0028_1.jpg,0028_2.jpg,冂,4,常用漢字,1年,N5,10級,なし,エン,en,,,,,,,,,まる・い,maru-i,,,,,,,,,,,,,,,,,,,お<ruby><rt>金</rt><rb>かね</rb></ruby>の<ruby><rt>単位</rt><rb>たんい</rb></ruby>、～<ruby><rt>円</rt><rb>えん</rb></ruby>。まるい。なめらか。じゅうぶん。あたり。,円安,えんやす,en'yasu,weak yen,円安えんやす傾向けいこうで輸出ゆしゅつが好調こうちょうだ。,円満（な）,えんまん（な）,enman(na),"peaceful, harmonious",問題もんだいが円満えんまんに解決かいけつされることを期待きたいしている。,一円,いちえん,ichien,throughout,あの本屋ほんやは関東かんとう一円いちえんに出店しゅってんしている。,円い［丸い］,まるい［まるい］,円形,えんけい,円滑（な）,えんかつ（な）,だ円（形）,だえん（けい）,円熟（する）,えんじゅく（する）
0029,手,0029_1.jpg,0029_2.jpg,手,4,常用漢字,1年,N5,10級,なし,シュ,shu,,,,,,,,,て,te,た,ta,,,,,,,,,,,,,,,,,て。やり<ruby><rt>方</rt><rb>かた</rb></ruby>。～する<ruby><rt>人</rt><rb>ひと</rb></ruby>。<ruby><rt>方向</rt><rb>ほうこう</rb></ruby>。うでまえ。<ruby><rt>資金</rt><rb>しきん</rb></ruby>。きず。<ruby><rt>状態</rt><rb>じょうたい</rb></ruby>。,相手,あいて,aite,"partner, other party",結婚けっこんも、けんかも、取とり引ひきも、相手あいてが必要ひつようです。,手段,しゅだん,shudan,"means, way",目的もくてきのためには手段しゅだんを選えらばない冷酷れいこくな人ひと。,手続き,てつづき,tetsuduki,"procedure, process",空港くうこうで入国にゅうこく手続てつづきをすませる。,運転手,うんてんしゅ,手術（する）,しゅじゅつ（する）,上手（な）⇔下手（な）,じょうず（な）⇔へた（な）,選手,せんしゅ,手紙,てがみ
0030,同,0030_1.jpg,0030_2.jpg,口,6,常用漢字,2年,N4,9級,なし,ドウ,dou,,,,,,,,,おな・じ,ona-ji,,,,,,,,,,,,,,,,,,,おなじ。いっしょにする。,同じ（な・に）,おなじ（な・に）,onaji(na・ni),the same,わたしにも同おなじものをください。,同意（する）,どうい（する）,doui(suru),agreement,個人情報こじんじょうほうは、本人ほんにんの同意どういなしに公表こうひょうできません。,同時（に）,どうじ（に）,douji(ni),at the same time,チケットは発売はつばいと同時どうじに売うり切きれた。,同様（な）,どうよう（な）,合同（の）,ごうどう（の）,同情（する）,どうじょう（する）,同期,どうき,同一（の）,どういつ（の）
